ID,number,description,status,scheduledStartDate,scheduledEndDate,assignedWorkCenter
35,4500001269,Corrective Maintenance - Conveyor Belt Line 5,CLSD,2026-06-29T16:00:00.000Z,2026-06-29T21:00:00.000Z,CIVIL-01
36,4500001270,Preventive Maintenance - Air Handling Unit 2,CRTD,2026-06-30T12:00:00.000Z,2026-06-30T14:00:00.000Z,MECH-01
37,4500001271,Breakdown Repair - Standby Generator 2,REL,2026-07-01T08:00:00.000Z,2026-07-01T13:00:00.000Z,MECH-02
38,4500001272,Annual Inspection - Fire Hydrant Pump,INPR,2026-07-02T04:00:00.000Z,2026-07-02T06:00:00.000Z,ELEC-01
39,4500001273,Scheduled Service - Goods Elevator 1,TECO,2026-07-03T00:00:00.000Z,2026-07-03T05:00:00.000Z,ELEC-02
40,4500001274,Emergency Repair - Cooling Tower Unit 4 (Anubhav Trainings Demo),CLSD,2026-07-03T20:00:00.000Z,2026-07-03T22:00:00.000Z,HVAC-01
41,4500001275,Condition-Based Maintenance - Centrifugal Water Pump,CRTD,2026-07-04T16:00:00.000Z,2026-07-04T21:00:00.000Z,INST-01
42,4500001276,Corrective Maintenance - Conveyor Belt Line 2,REL,2026-07-05T12:00:00.000Z,2026-07-05T14:00:00.000Z,CIVIL-01
43,4500001277,Preventive Maintenance - Cooling Tower Unit 3,INPR,2026-07-06T08:00:00.000Z,2026-07-06T13:00:00.000Z,MECH-01
44,4500001278,Breakdown Repair - Diesel Generator Set,TECO,2026-07-07T04:00:00.000Z,2026-07-07T06:00:00.000Z,MECH-02
45,4500001279,Annual Inspection - Rooftop HVAC Unit,CLSD,2026-07-08T00:00:00.000Z,2026-07-08T05:00:00.000Z,ELEC-01
46,4500001280,Scheduled Service - Air Compressor Unit 1,CRTD,2026-07-08T20:00:00.000Z,2026-07-08T22:00:00.000Z,ELEC-02
47,4500001281,Emergency Repair - Steam Boiler Unit 2,REL,2026-07-09T16:00:00.000Z,2026-07-09T21:00:00.000Z,HVAC-01
48,4500001282,Condition-Based Maintenance - Overhead Gantry Crane (Anubhav Trainings Demo),INPR,2026-07-10T12:00:00.000Z,2026-07-10T14:00:00.000Z,INST-01
49,4500001283,Corrective Maintenance - Electric Forklift 12,TECO,2026-07-11T08:00:00.000Z,2026-07-11T13:00:00.000Z,CIVIL-01
50,4500001284,Preventive Maintenance - Chiller Unit 4,CLSD,2026-07-12T04:00:00.000Z,2026-07-12T06:00:00.000Z,MECH-01
51,4500001285,Breakdown Repair - Power Transformer T2,CRTD,2026-07-13T00:00:00.000Z,2026-07-13T05:00:00.000Z,MECH-02
52,4500001286,Annual Inspection - Control Valve Station,REL,2026-07-13T20:00:00.000Z,2026-07-13T22:00:00.000Z,ELEC-01
53,4500001287,Scheduled Service - Induction Motor 75kW,INPR,2026-07-14T16:00:00.000Z,2026-07-14T21:00:00.000Z,ELEC-02
54,4500001288,Emergency Repair - Booster Pump Station,TECO,2026-07-15T12:00:00.000Z,2026-07-15T14:00:00.000Z,HVAC-01
55,4500001289,Condition-Based Maintenance - Conveyor Belt Line 5,CLSD,2026-07-16T08:00:00.000Z,2026-07-16T13:00:00.000Z,INST-01
56,4500001290,Corrective Maintenance - Air Handling Unit 2 (Anubhav Trainings Demo),CRTD,2026-07-17T04:00:00.000Z,2026-07-17T06:00:00.000Z,CIVIL-01
57,4500001291,Preventive Maintenance - Standby Generator 2,REL,2026-07-18T00:00:00.000Z,2026-07-18T05:00:00.000Z,MECH-01
58,4500001292,Breakdown Repair - Fire Hydrant Pump,INPR,2026-07-18T20:00:00.000Z,2026-07-18T22:00:00.000Z,MECH-02
59,4500001293,Annual Inspection - Goods Elevator 1,TECO,2026-07-19T16:00:00.000Z,2026-07-19T21:00:00.000Z,ELEC-01
60,4500001294,Scheduled Service - Cooling Tower Unit 4,CLSD,2026-07-20T12:00:00.000Z,2026-07-20T14:00:00.000Z,ELEC-02
61,4500001295,Emergency Repair - Centrifugal Water Pump,CRTD,2026-07-21T08:00:00.000Z,2026-07-21T13:00:00.000Z,HVAC-01
62,4500001296,Condition-Based Maintenance - Conveyor Belt Line 2,REL,2026-07-22T04:00:00.000Z,2026-07-22T06:00:00.000Z,INST-01
63,4500001297,Corrective Maintenance - Cooling Tower Unit 3,INPR,2026-07-23T00:00:00.000Z,2026-07-23T05:00:00.000Z,CIVIL-01
64,4500001298,Preventive Maintenance - Diesel Generator Set (Anubhav Trainings Demo),TECO,2026-07-23T20:00:00.000Z,2026-07-23T22:00:00.000Z,MECH-01
65,4500001299,Breakdown Repair - Rooftop HVAC Unit,CLSD,2026-07-24T16:00:00.000Z,2026-07-24T21:00:00.000Z,MECH-02
66,4500001300,Annual Inspection - Air Compressor Unit 1,CRTD,2026-07-25T12:00:00.000Z,2026-07-25T14:00:00.000Z,ELEC-01
67,4500001301,Scheduled Service - Steam Boiler Unit 2,REL,2026-07-26T08:00:00.000Z,2026-07-26T13:00:00.000Z,ELEC-02
68,4500001302,Emergency Repair - Overhead Gantry Crane,INPR,2026-07-27T04:00:00.000Z,2026-07-27T06:00:00.000Z,HVAC-01
69,4500001303,Condition-Based Maintenance - Electric Forklift 12,TECO,2026-07-28T00:00:00.000Z,2026-07-28T05:00:00.000Z,INST-01
70,4500001304,Corrective Maintenance - Chiller Unit 4,CLSD,2026-07-28T20:00:00.000Z,2026-07-28T22:00:00.000Z,CIVIL-01
71,4500001305,Preventive Maintenance - Power Transformer T2,CRTD,2026-07-29T16:00:00.000Z,2026-07-29T21:00:00.000Z,MECH-01
72,4500001306,Breakdown Repair - Control Valve Station (Anubhav Trainings Demo),REL,2026-07-30T12:00:00.000Z,2026-07-30T14:00:00.000Z,MECH-02
73,4500001307,Annual Inspection - Induction Motor 75kW,INPR,2026-07-31T08:00:00.000Z,2026-07-31T13:00:00.000Z,ELEC-01
74,4500001308,Scheduled Service - Booster Pump Station,TECO,2026-08-01T04:00:00.000Z,2026-08-01T06:00:00.000Z,ELEC-02
75,4500001309,Emergency Repair - Conveyor Belt Line 5,CLSD,2026-08-02T00:00:00.000Z,2026-08-02T05:00:00.000Z,HVAC-01
76,4500001310,Condition-Based Maintenance - Air Handling Unit 2,CRTD,2026-08-02T20:00:00.000Z,2026-08-02T22:00:00.000Z,INST-01
77,4500001311,Corrective Maintenance - Standby Generator 2,REL,2026-08-03T16:00:00.000Z,2026-08-03T21:00:00.000Z,CIVIL-01
78,4500001312,Preventive Maintenance - Fire Hydrant Pump,INPR,2026-08-04T12:00:00.000Z,2026-08-04T14:00:00.000Z,MECH-01
79,4500001313,Breakdown Repair - Goods Elevator 1,TECO,2026-08-05T08:00:00.000Z,2026-08-05T13:00:00.000Z,MECH-02
80,4500001314,Annual Inspection - Cooling Tower Unit 4 (Anubhav Trainings Demo),CLSD,2026-08-06T04:00:00.000Z,2026-08-06T06:00:00.000Z,ELEC-01
81,4500001315,Scheduled Service - Centrifugal Water Pump,CRTD,2026-08-07T00:00:00.000Z,2026-08-07T05:00:00.000Z,ELEC-02
82,4500001316,Emergency Repair - Conveyor Belt Line 2,REL,2026-08-07T20:00:00.000Z,2026-08-07T22:00:00.000Z,HVAC-01
83,4500001317,Condition-Based Maintenance - Cooling Tower Unit 3,INPR,2026-08-08T16:00:00.000Z,2026-08-08T21:00:00.000Z,INST-01
84,4500001318,Corrective Maintenance - Diesel Generator Set,TECO,2026-08-09T12:00:00.000Z,2026-08-09T14:00:00.000Z,CIVIL-01
85,4500001319,Preventive Maintenance - Rooftop HVAC Unit,CLSD,2026-08-10T08:00:00.000Z,2026-08-10T13:00:00.000Z,MECH-01
86,4500001320,Breakdown Repair - Air Compressor Unit 1,CRTD,2026-08-11T04:00:00.000Z,2026-08-11T06:00:00.000Z,MECH-02
87,4500001321,Annual Inspection - Steam Boiler Unit 2,REL,2026-08-12T00:00:00.000Z,2026-08-12T05:00:00.000Z,ELEC-01
88,4500001322,Scheduled Service - Overhead Gantry Crane (Anubhav Trainings Demo),INPR,2026-08-12T20:00:00.000Z,2026-08-12T22:00:00.000Z,ELEC-02
89,4500001323,Emergency Repair - Electric Forklift 12,TECO,2026-08-13T16:00:00.000Z,2026-08-13T21:00:00.000Z,HVAC-01
90,4500001324,Condition-Based Maintenance - Chiller Unit 4,CLSD,2026-08-14T12:00:00.000Z,2026-08-14T14:00:00.000Z,INST-01
91,4500001325,Corrective Maintenance - Power Transformer T2,CRTD,2026-08-15T08:00:00.000Z,2026-08-15T13:00:00.000Z,CIVIL-01
92,4500001326,Preventive Maintenance - Control Valve Station,REL,2026-08-16T04:00:00.000Z,2026-08-16T06:00:00.000Z,MECH-01
93,4500001327,Breakdown Repair - Induction Motor 75kW,INPR,2026-08-17T00:00:00.000Z,2026-08-17T05:00:00.000Z,MECH-02
94,4500001328,Annual Inspection - Booster Pump Station,TECO,2026-08-17T20:00:00.000Z,2026-08-17T22:00:00.000Z,ELEC-01
95,4500001329,Scheduled Service - Conveyor Belt Line 5,CLSD,2026-08-18T16:00:00.000Z,2026-08-18T21:00:00.000Z,ELEC-02
96,4500001330,Emergency Repair - Air Handling Unit 2 (Anubhav Trainings Demo),CRTD,2026-08-19T12:00:00.000Z,2026-08-19T14:00:00.000Z,HVAC-01
97,4500001331,Condition-Based Maintenance - Standby Generator 2,REL,2026-08-20T08:00:00.000Z,2026-08-20T13:00:00.000Z,INST-01
98,4500001332,Corrective Maintenance - Fire Hydrant Pump,INPR,2026-08-21T04:00:00.000Z,2026-08-21T06:00:00.000Z,CIVIL-01
99,4500001333,Preventive Maintenance - Goods Elevator 1,TECO,2026-08-22T00:00:00.000Z,2026-08-22T05:00:00.000Z,MECH-01
100,4500001334,Breakdown Repair - Cooling Tower Unit 4,CLSD,2026-08-22T20:00:00.000Z,2026-08-22T22:00:00.000Z,MECH-02
101,4500001335,Annual Inspection - Centrifugal Water Pump,CRTD,2026-08-23T16:00:00.000Z,2026-08-23T21:00:00.000Z,ELEC-01
102,4500001336,Scheduled Service - Conveyor Belt Line 2,REL,2026-08-24T12:00:00.000Z,2026-08-24T14:00:00.000Z,ELEC-02
103,4500001337,Emergency Repair - Cooling Tower Unit 3,INPR,2026-08-25T08:00:00.000Z,2026-08-25T13:00:00.000Z,HVAC-01
104,4500001338,Condition-Based Maintenance - Diesel Generator Set (Anubhav Trainings Demo),TECO,2026-08-26T04:00:00.000Z,2026-08-26T06:00:00.000Z,INST-01
105,4500001339,Corrective Maintenance - Rooftop HVAC Unit,CLSD,2026-08-27T00:00:00.000Z,2026-08-27T05:00:00.000Z,CIVIL-01
106,4500001340,Preventive Maintenance - Air Compressor Unit 1,CRTD,2026-08-27T20:00:00.000Z,2026-08-27T22:00:00.000Z,MECH-01
107,4500001341,Breakdown Repair - Steam Boiler Unit 2,REL,2026-08-28T16:00:00.000Z,2026-08-28T21:00:00.000Z,MECH-02
108,4500001342,Annual Inspection - Overhead Gantry Crane,INPR,2026-08-29T12:00:00.000Z,2026-08-29T14:00:00.000Z,ELEC-01
109,4500001343,Scheduled Service - Electric Forklift 12,TECO,2026-08-30T08:00:00.000Z,2026-08-30T13:00:00.000Z,ELEC-02
110,4500001344,Emergency Repair - Chiller Unit 4,CLSD,2026-08-31T04:00:00.000Z,2026-08-31T06:00:00.000Z,HVAC-01
111,4500001345,Condition-Based Maintenance - Power Transformer T2,CRTD,2026-09-01T00:00:00.000Z,2026-09-01T05:00:00.000Z,INST-01
112,4500001346,Corrective Maintenance - Control Valve Station (Anubhav Trainings Demo),REL,2026-09-01T20:00:00.000Z,2026-09-01T22:00:00.000Z,CIVIL-01
113,4500001347,Preventive Maintenance - Induction Motor 75kW,INPR,2026-09-02T16:00:00.000Z,2026-09-02T21:00:00.000Z,MECH-01
114,4500001348,Breakdown Repair - Booster Pump Station,TECO,2026-09-03T12:00:00.000Z,2026-09-03T14:00:00.000Z,MECH-02
115,4500001349,Annual Inspection - Conveyor Belt Line 5,CLSD,2026-09-04T08:00:00.000Z,2026-09-04T13:00:00.000Z,ELEC-01
